
AL-20 = Apache License 2.0 with original Copyright line.
AL-20a = Apache License 2.0 with original Copyright line and "or its licensors".
AL-20b = Apache License 2.0 with no Copyright line, i.e. the current style.
----------------------

/cygdrive/c/projects/uk.ac.osswatch.simal.model/.classpath, extension=.classpath, fileType=unknown, File type '.classpath' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/.project, extension=.project, fileType=unknown, ignored, File type '.project' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/build.properties, extension=.properties, fileType=properties, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/relicence.log, extension=.log, fileType=unknown, WARN: Found existing license (licenseType=Other) so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/svn-commit.tmp, extension=.tmp, fileType=unknown, File type '.tmp' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/svn-commit.tmp~, extension=.tmp~, fileType=unknown, File type '.tmp~' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/.settings/org.eclipse.core.resources.prefs, extension=.prefs, fileType=properties, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/.settings/org.eclipse.pde.core.prefs, extension=.prefs, fileType=properties, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/bin/META-INF/persistence.xml, extension=.xml, fileType=xml, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/bin/META-INF/setup.sql, extension=.sql, fileType=sql, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/etc/scrapbook.sql.sqlpage, extension=.sqlpage, fileType=unknown, File type '.sqlpage' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/etc/relicence/insert_license.pl, extension=.pl, fileType=sh, Found existing license (licenseType=AL-20b) so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/etc/relicence/model-avoid.txt, extension=.txt, fileType=unknown, ignored, File type '.txt' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/etc/relicence/relicence.log, extension=.log, fileType=unknown, WARN: Found existing license (licenseType=Other) so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/etc/relicence/relicense.txt, extension=.txt, fileType=unknown, ignored, File type '.txt' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/lib/stax-api-LICENSE.txt, extension=.txt, fileType=unknown, WARN: Found existing license (licenseType=Other) so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/lib/wstx-LICENSE.txt, extension=.txt, fileType=unknown, WARN: Found existing license (licenseType=Other) so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/lib/db-derby-10.2.2.0-lib/LICENSE, extension=NoExtension, fileType=unknown, WARN: Found existing license (licenseType=Other) so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/lib/db-derby-10.2.2.0-lib/NOTICE, extension=NoExtension, fileType=unknown, WARN: Found existing license (licenseType=Other) so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/lib/glassfish-persistence/3RD-PARTY-LICENSE.txt, extension=.txt, fileType=unknown, WARN: Found existing license (licenseType=Other) so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/lib/glassfish-persistence/LICENSE.txt, extension=.txt, fileType=unknown, WARN: Found existing license (licenseType=Other) so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/lib/glassfish-persistence/README, extension=NoExtension, fileType=unknown, File type 'NoExtension' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/META-INF/MANIFEST.MF, extension=.MF, fileType=unknown, File type '.MF' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/META-INF/persistence.xml, extension=.xml, fileType=xml, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/META-INF/setup.sql, extension=.sql, fileType=sql, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/model/Activator.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/model/Contributor.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/model/Event.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/model/Language.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/model/Project.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/service/IContributorService.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/service/IEventService.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/service/ILanguageService.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/service/IProjectService.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/service/derby/JPAResourceBean.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/service/derby/ManagedContributorBean.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/service/derby/ManagedEventBean.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/service/derby/ManagedLanguageBean.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.model/src/uk/ac/osswatch/simal/service/derby/ManagedProjectBean.java, extension=.java, fileType=C, Insert new license
