
AL-20 = Apache License 2.0 with original Copyright line.
AL-20a = Apache License 2.0 with original Copyright line and "or its licensors".
AL-20b = Apache License 2.0 with no Copyright line, i.e. the current style.
----------------------

/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/.classpath, extension=.classpath, fileType=unknown, File type '.classpath' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/.project, extension=.project, fileType=unknown, ignored, File type '.project' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/about.html, extension=.html, fileType=html, WARN: Found existing license (licenseType=Other) so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/build.properties, extension=.properties, fileType=properties, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/plugin.properties, extension=.properties, fileType=properties, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/plugin.xml, extension=.xml, fileType=xml, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/META-INF/MANIFEST.MF, extension=.MF, fileType=unknown, File type '.MF' is not recognised so skipping
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/AdminWorbenchAdvisor.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/AdminWorkbench.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/GUIActivator.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/ProjectActionBarAdvisor.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/ProjectPerspective.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/ProjectWorkbenchWindowAdvisor.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/controls/BrowserViewPart.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/controls/ContributorEditorViewPart.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/controls/ContributorTreeViewPart.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/controls/EventEditorViewPart.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/controls/EventTreeViewPart.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/controls/LanguageEditorViewPart.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/controls/LanguageTreeViewPart.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/controls/ProjectEditorViewPart.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/controls/ProjectTreeViewPart.java, extension=.java, fileType=C, Insert new license
/cygdrive/c/projects/uk.ac.osswatch.simal.webGUI/src/uk/ac/osswatch/simal/webGUI/controls/ViewPartHelper.java, extension=.java, fileType=C, Insert new license
